time,open,high,low,close
989910000,0.83901892,0.83901892,0.82720175,0.83121954
989996400,0.82720175,0.83641912,0.82318396,0.82602006
990082800,0.82720175,0.82720175,0.82011147,0.82436565
990342000,0.81562088,0.82129317,0.81538458,0.81656627
990428400,0.81325749,0.85083609,0.809476,0.83145593
990514800,0.82720175,0.83287404,0.82720175,0.82932884
990601200,0.82152946,0.82838344,0.81703899,0.82625635
990687600,0.83736451,0.8449275,0.82743805,0.83381934
990946800,0.83901892,0.8449275,0.83145593,0.840437
991033200,0.8449275,0.84610919,0.83901892,0.8420914
991119600,0.83311033,0.84374581,0.83311033,0.83854623
991206000,0.82791076,0.83192864,0.82720175,0.82885615
991292400,0.82720175,0.83311033,0.81609359,0.81892978
991551600,0.81538458,0.81538458,0.79647714,0.80144032
991724400,0.80120403,0.81420289,0.79175025,0.80120403
991810800,0.79293194,0.80356741,0.79293194,0.80096761
991897200,0.79647714,0.80356741,0.79647714,0.80049493
992156400,0.80380371,0.80380371,0.76811591,0.78796875
992242800,0.78796875,0.80356741,0.78796875,0.79482273
992329200,0.81514829,0.82625635,0.80333112,0.81514829
992415600,0.82129317,0.82696545,0.81065769,0.81585727
992502000,0.809476,0.81656627,0.809476,0.81443918
992761200,0.8049855,0.81562088,0.8049855,0.81373018
992847600,0.8040401,0.82720175,0.8040401,0.81822068
992934000,0.81585727,0.81892978,0.81089408,0.81609359
993020400,0.81656627,0.81774797,0.81538458,0.81562088
993106800,0.81538458,0.82247486,0.8130212,0.81609359
993366000,0.81538458,0.81538458,0.78607796,0.80356741
993452400,0.8059308,0.81609359,0.8059308,0.81325749
993538800,0.81538458,0.81562088,0.81349379,0.81538458
993625200,0.81538458,0.81798438,0.81538458,0.81609359
993711600,0.81538458,0.81892978,0.81065769,0.81538458
994057200,0.82365655,0.83665553,0.81160309,0.82436565
994143600,0.81538458,0.85059979,0.81538458,0.83547372
994230000,0.84610919,0.85414487,0.84256411,0.84918168
994316400,0.85059979,0.85674467,0.83098324,0.83830991
994575600,0.83429203,0.85201778,0.83429203,0.8484727
994662000,0.85059979,0.85083609,0.83712812,0.8458729
994748400,0.84350942,0.849418,0.83901892,0.8439821
994834800,0.83901892,0.83901892,0.82720175,0.83051053
994921200,0.83074695,0.83311033,0.82861983,0.83074695
995180400,0.81774797,0.82365655,0.81514829,0.81916608
995266800,0.81538458,0.81538458,0.79198654,0.80238572
995353200,0.78347828,0.79647714,0.76220733,0.76906131
995439600,0.77426079,0.77993308,0.76386173,0.77615158
995526000,0.79033216,0.79151395,0.7730791,0.77946039
995785200,0.77946039,0.79056855,0.77946039,0.78276917
995958000,0.79151395,0.8040401,0.78016937,0.79033216
996044400,0.80214933,0.80356741,0.78584166,0.79435005
996130800,0.79175025,0.79175025,0.76811591,0.77544258
996390000,0.76504342,0.77686059,0.76504342,0.77237009
996476400,0.7704793,0.77993308,0.76835221,0.7711884
996562800,0.75866213,0.75866213,0.73266441,0.73762759
996649200,0.73030097,0.73266441,0.71210251,0.72486508
996735600,0.74448157,0.75275359,0.72084724,0.72439239
996994800,0.73975468,0.74211814,0.72321067,0.72793752
997081200,0.73266441,0.76433442,0.72699217,0.75558969
997167600,0.76811591,0.77166111,0.75275359,0.76457071
997254000,0.77969678,0.80285841,0.77756969,0.79269564
997340400,0.81609359,0.83240133,0.81443918,0.82625635
997599600,0.83901892,0.84445481,0.82034777,0.83169225
997686000,0.81892978,0.85083609,0.81822068,0.84421849
997772400,0.85083609,0.86856184,0.8413823,0.85934447
997858800,0.84610919,0.85083609,0.82767444,0.83901892
997945200,0.83878262,0.84965439,0.83074695,0.840437
998204400,0.849418,0.87210703,0.849418,0.86359865
998290800,0.85201778,0.86619845,0.85201778,0.86241696
998377200,0.84421849,0.85674467,0.84421849,0.84989069
998463600,0.8413823,0.84729089,0.83901892,0.83972792
998550000,0.8413823,0.85674467,0.8413823,0.85319947
998809200,0.85083609,0.86265325,0.85059979,0.86028987
998895600,0.85130877,0.86856184,0.85083609,0.86359865
998982000,0.86714375,0.87210703,0.86714375,0.86879813
999068400,0.86241696,0.87447042,0.85816275,0.86950723
999154800,0.87470672,0.89739575,0.87470672,0.88770567
999414000,0.89385058,0.90519503,0.88746928,0.89692306
999500400,0.89810476,0.92741138,0.89810476,0.9179576
999586800,0.91913929,0.92764768,0.91913929,0.92197539
