time,open,high,low,close
1425542400,1,1,1,1
1425801600,1,1,1,1
1425888000,1,1,1,1
1425974400,1,1,1,1
1426060800,1,1,1,1
1426147200,1,1,1,1
1426492800,1,1,1,1
1426579200,1,1,1,1
1426665600,1,1,1,1
1426752000,1,1,1,1
1427011200,1,1,1,1
1427097600,1,1,1,1
1427184000,1,1,1,1
1427270400,1,1,1,1
1427356800,1,1,1,1
1427616000,1,1,1,1
1427702400,1,1,1,1
1427788800,1,1,1,1
1427875200,1,1,1,1
1427961600,1,1,1,1
1428220800,1,1,1,1
1428307200,1,1,1,1
1428393600,1,1,1,1
1428480000,1,1,1,1
1428566400,1,1,1,1
1428998400,1,1,1,1
1429084800,1,1,1,1
1429171200,1,1,1,1
1429430400,1,1,1,1
1429516800,1,1,1,1
1429603200,1,1,1,1
1429689600,1,1,1,1
1429776000,1,1,1,1
1432022400,1,1,1,1
1432454400,1,1,1,1
1434614400,1,1,1,1
1434873600,1,1,1,1
1434960000,1,1,1,1
1435046400,1,1,1,1
1435132800,1,1,1,1
1435219200,1,1,1,1
1435478400,1,1,1,1
1435564800,1,1,1,1
1435824000,1,1,1,1
1436083200,4.08,4.08,3.71,3.94
1436169600,3.75,3.75,3.39,3.55
1436256000,3.55,3.6,3.39,3.47
1436342400,3.47,3.51,3.26,3.35
1436428800,3.3,3.35,3.24,3.29
1436688000,3.29,3.44,3.28,3.36
1436774400,3.4,3.42,3.31,3.36
1436860800,3.39,3.51,3.38,3.45
1436947200,3.5,3.55,3.47,3.52
1437033600,3.55,3.57,3.5,3.54
1437465600,3.55,3.55,3.42,3.49
1437552000,3.48,3.51,3.41,3.46
1437897600,3.5,3.51,3.41,3.45
1437984000,3.45,3.45,3.4,3.42
1438070400,3.43,3.56,3.41,3.52
1438156800,3.56,3.56,3.51,3.54
1438243200,3.54,3.54,3.46,3.5
1438502400,3.48,3.5,3.38,3.42
1438588800,3.41,3.43,3.3,3.35
1438675200,3.43,3.49,3.39,3.44
1438761600,3.41,3.41,3.24,3.33
1439107200,3.28,3.3,3,3.08
1439193600,3.05,3.17,3.01,3.09
1439280000,3.15,3.17,3.04,3.05
1439366400,3.06,3.06,2.86,2.96
1439452800,2.95,3,2.85,2.9
1439712000,2.9,2.9,2.76,2.81
1439798400,2.79,2.83,2.71,2.79
1439884800,2.8,2.8,2.58,2.68
1439971200,2.64,2.68,2.47,2.57
1440057600,2.55,2.58,2.44,2.51
1440316800,2.27,2.34,2.27,2.3
1440403200,2.27,2.33,2.07,2.18
1440489600,2.15,2.25,2.12,2.2
1440576000,2.17,2.18,2.09,2.14
1440662400,2.22,2.44,2.2,2.32
1440921600,2.43,2.58,2.4,2.5
1441008000,2.48,2.65,2.46,2.57
1441094400,2.57,2.6,2.5,2.53
1441180800,2.48,2.55,2.43,2.49
1441267200,2.57,2.61,2.54,2.58
1441526400,2.55,2.57,2.5,2.54
1441612800,2.55,2.59,2.35,2.46
1441699200,2.36,2.39,2.22,2.31
1441785600,2.39,2.44,2.34,2.39
1441872000,2.37,2.38,2.3,2.34
1442131200,2.35,2.43,2.32,2.39
1442217600,2.4,2.47,2.38,2.43
1442304000,2.4,2.44,2.37,2.4
1442390400,2.4,2.43,2.37,2.37
1442476800,2.38,2.47,2.38,2.42
1442736000,2.38,2.41,2.33,2.36
1442822400,2.38,2.4,2.35,2.37
1442908800,2.39,2.41,2.36,2.39
1443427200,2.38,2.45,2.37,2.43
1443513600,2.4,2.41,2.39,2.4
1443600000,2.42,2.42,2.37,2.38
1443686400,2.4,2.4,2.37,2.39
1443945600,2.4,2.4,2.28,2.31
1444032000,2.32,2.32,2.26,2.29
1444204800,2.33,2.35,2.3,2.32
1444291200,2.34,2.4,2.32,2.37
1444550400,2.4,2.55,2.38,2.46
1444636800,2.53,2.7,2.51,2.65
1444723200,2.72,2.8,2.66,2.75
1444896000,2.71,2.75,2.62,2.68
1445155200,2.61,2.64,2.6,2.61
1445241600,2.63,2.82,2.61,2.71
1445328000,2.8,2.91,2.8,2.85
1445414400,2.84,3.05,2.8,2.95
1445500800,2.98,2.98,2.88,2.92
1445760000,2.96,3.03,2.95,3
1445846400,2.99,2.99,2.91,2.94
1445932800,2.92,2.95,2.87,2.91
1446019200,2.86,2.92,2.75,2.82
1446105600,2.89,2.9,2.84,2.86
1446364800,2.83,2.84,2.72,2.75
1446451200,2.77,2.8,2.74,2.77
1446537600,2.79,2.83,2.69,2.76
1446624000,2.74,2.82,2.7,2.76
1446710400,2.77,2.99,2.77,2.91
1446969600,2.88,2.89,2.75,2.82
1447056000,2.8,2.81,2.7,2.74
1447142400,2.7,2.74,2.49,2.56
1447228800,2.52,2.64,2.52,2.6
1447315200,2.61,2.65,2.54,2.59
1447574400,2.53,2.53,2.41,2.46
1447660800,2.45,2.56,2.44,2.52
1447747200,2.57,2.6,2.42,2.52
1447833600,2.51,2.6,2.51,2.56
1447920000,2.6,2.69,2.6,2.66
1448179200,2.66,2.71,2.63,2.66
1448265600,2.66,2.66,2.55,2.59
1448352000,2.56,2.6,2.53,2.57
1448438400,2.61,2.63,2.54,2.59
1448524800,2.6,2.64,2.59,2.62
1448784000,2.6,2.6,2.56,2.57
1448870400,2.6,2.6,2.55,2.57
1448956800,2.6,2.61,2.57,2.6
1449043200,2.61,2.86,2.61,2.75
1449129600,2.81,2.99,2.8,2.9
1449388800,2.83,2.9,2.81,2.87
1449475200,2.88,2.9,2.76,2.8
1449561600,2.76,2.78,2.74,2.75
1449648000,2.8,2.8,2.75,2.78
1449734400,2.76,2.77,2.71,2.75
1449993600,2.7,2.7,2.58,2.64
1450080000,2.65,2.67,2.6,2.64
1450166400,2.61,2.77,2.61,2.73
1450252800,2.78,2.81,2.73,2.77
1450339200,2.8,2.84,2.75,2.79
1450598400,2.72,2.85,2.72,2.81
1450684800,2.8,2.82,2.75,2.8
1450771200,2.79,2.81,2.75,2.78
1450944000,2.81,2.82,2.76,2.79
1451203200,2.8,2.8,2.75,2.78
1451289600,2.77,2.82,2.75,2.78
1451376000,2.76,2.8,2.73,2.77
