time,open,high,low,close
1512979200,3.7389491,3.7389491,3.7389491,3.7389491
1513065600,3.7389491,4.44806014,3.7389491,4.33847025
1513152000,4.33847025,4.58343588,4.33847025,4.48673892
1513238400,4.48673892,4.54475709,4.3835955,4.43516721
1513497600,4.43516721,4.83484797,4.43516721,4.69302577
1513584000,4.69302577,4.77038333,4.57698941,4.68013284
1513670400,4.68013284,5.14427824,4.65434698,4.92509847
1513756800,4.92509847,5.41502973,4.92509847,5.18295703
1513843200,5.18295703,5.64065597,5.18295703,5.37635095
1514102400,5.37635095,5.37635095,5.02824189,5.18940349
1514188800,5.18940349,5.35056509,5.15717117,5.24742167
1514275200,5.24742167,5.37635095,5.20229642,5.31188631
1514361600,5.31188631,5.35056509,5.15717117,5.26031459
1514448000,5.26031459,5.37635095,5.09270653,5.22163581
1514707200,5.22163581,5.38279741,5.15717117,5.35056509
1514880000,5.35056509,5.35701155,5.18940349,5.26031459
1514966400,5.26031459,5.67288829,5.26031459,5.39569034
1515052800,5.39569034,5.60842365,5.39569034,5.55040547
1515398400,5.55040547,5.58263779,5.44726205,5.54395901
1515484800,5.54395901,5.57619133,5.44726205,5.49238794
1515571200,5.49238794,5.57619133,5.42792266,5.48594083
1515657600,5.48594083,5.67288829,5.46015498,5.54395901
1515916800,5.54395901,5.80181757,5.54395901,5.64065597
1516003200,5.64065597,5.67288829,5.46015498,5.50528023
1516089600,5.50528023,5.6342095,5.46660144,5.51817315
1516176000,5.51817315,5.67933475,5.51817315,5.6342095
1516262400,5.6342095,6.05322966,5.61487011,5.82115696
1516521600,5.82115696,6.12414077,5.82115696,5.98231856
1516608000,5.98231856,6.5109286,5.98231856,6.33687408
1516694400,6.33687408,6.8332518,6.33687408,6.68498313
1516780800,6.68498313,6.9944134,6.54316092,6.78168009
1517126400,6.78168009,6.9235023,6.6720902,6.74300131
1517212800,6.74300131,6.96218108,6.72366191,6.90416291
1517299200,6.90416291,6.96218108,6.55605385,6.71076899
1517385600,6.71076899,6.71076899,6.12414077,6.52382153
1517472000,6.52382153,6.76878716,6.52382153,6.66564374
1517731200,6.66564374,6.66564374,6.349767,6.5109286
1517817600,6.5109286,6.63985788,6.5109286,6.62051849
1517904000,6.62051849,6.62051849,6.19505187,6.42712457
1517990400,6.42712457,6.80101948,6.42712457,6.65919727
1518076800,6.65919727,7.32318306,6.65919727,7.17491439
1518336000,7.17491439,7.28450428,6.90416291,7.11044975
1518422400,7.11044975,7.28450428,7.03309218,7.19425378
1518508800,7.19425378,7.54236284,7.09111036,7.38120124
1518595200,7.38120124,7.4778982,7.30384367,7.3876477
1518681600,7.3876477,8.03874056,7.38120124,7.71641736
1518940800,7.71641736,8.25147387,7.71641736,8.03874056
1519027200,8.03874056,8.21279509,7.77443554,7.92270421
1519113600,7.92270421,7.92270421,7.22003964,7.49079113
1519200000,7.49079113,7.49079113,6.96218108,7.14912854
1519286400,7.14912854,7.40054063,7.05243158,7.29739721
1519545600,7.29739721,7.40054063,7.12334268,7.22003964
1519632000,7.22003964,7.28450428,7.01375279,7.14268207
1519718400,7.14268207,7.4778982,7.14268207,7.35541538
1519804800,7.35541538,7.55525577,7.35541538,7.4778982
1519891200,7.4778982,7.4778982,6.73010838,6.82680534
1520150400,6.82680534,6.82680534,5.89851453,6.09835491
1520236800,6.09835491,6.48514275,5.99521149,6.22083773
1520323200,6.22083773,6.57539324,6.22083773,6.49158921
1520409600,6.49158921,6.56250032,6.25951651,6.42712457
1520496000,6.42712457,6.42712457,6.2079448,6.30464176
1520755200,6.30464176,6.41423164,6.18860541,6.25307005
1520841600,6.25307005,6.38844579,6.23373065,6.33042761
1520928000,6.33042761,6.50448214,6.2079448,6.31753468
1521014400,6.31753468,6.31753468,5.83404989,6.02099734
1521100800,6.02099734,6.02099734,5.82115696,5.87272867
1521360000,5.87272867,5.95008624,5.51172669,5.68578122
1521446400,5.68578122,6.01455088,5.51817315,5.77603171
1521532800,5.77603171,6.29819594,5.77603171,6.13703434
1521619200,6.13703434,6.28530236,5.93074685,6.07901552
1521705600,6.07901552,6.14992662,5.80826403,5.91785392
1521964800,5.91785392,5.91785392,5.73735293,5.7953711
1522051200,5.7953711,6.0467832,5.75669232,5.89851453
1522137600,5.89851453,6.04033673,5.89851453,5.96297917
1522224000,5.96297917,6.25951651,5.93074685,6.08546198
1522310400,6.08546198,6.43357104,6.08546198,6.31753468
1522569600,6.31753468,6.32398115,6.07256905,6.16926601
1522656000,6.16926601,6.92994876,6.16926601,6.65275081
1522742400,6.65275081,6.76878716,6.44646396,6.62051849
1522828800,6.62051849,7.0846639,6.60762556,6.82035887
1522915200,6.82035887,6.86548412,6.58183971,6.73655484
1523347200,6.73655484,6.76878716,6.54960739,6.65275081
1523433600,6.65275081,6.65919727,6.45935689,6.56894678
1523520000,6.56894678,6.7623407,6.42067811,6.54960739
1523779200,6.54960739,6.56250032,6.29819594,6.36265993
1523865600,6.36265993,6.68498313,6.29174883,6.47224982
1523952000,6.47224982,6.62696495,6.42067811,6.49158921
1524038400,6.49158921,6.78812655,6.39489225,6.63341142
1524124800,6.63341142,7.09111036,6.63341142,6.96218108
1524384000,6.96218108,7.21359318,6.91705583,7.09755682
1524470400,7.09755682,7.22003964,6.96862755,7.12978914
1524556800,7.12978914,7.13623561,6.91060937,7.00730633
1524729600,7.00730633,7.14912854,6.85259119,7.04598511
1524988800,7.04598511,7.04598511,6.85259119,6.93639523
1525075200,6.93639523,6.96862755,6.8332518,6.89126998
1525248000,6.89126998,7.40698709,6.85259119,7.18780732
1525334400,7.18780732,7.34896892,6.84614473,7.05243158
1525593600,7.05243158,7.0846639,6.88482351,6.92994876
1525680000,6.92994876,7.21359318,6.89771644,7.00730633
1525766400,7.00730633,7.00730633,6.8332518,6.89771644
1525852800,6.89771644,6.96218108,6.70432252,6.8332518
1525939200,6.8332518,7.02019926,6.59473264,6.80746595
1526198400,6.80746595,6.9944134,6.64630435,6.85903766
1526284800,6.85903766,6.85903766,6.54960739,6.67853667
1526371200,6.67853667,6.85259119,6.44646396,6.53671446
1526457600,6.53671446,6.60762556,6.44646396,6.49158921
1526544000,6.49158921,6.92994876,6.49158921,6.65919727
1526803200,6.65919727,7.07177097,6.63985788,6.86548412
1526889600,6.86548412,6.92994876,6.71721545,6.78812655
1526976000,6.78812655,6.82035887,6.58828617,6.67853667
1527062400,6.67853667,6.78168009,6.63985788,6.74944777
1527148800,6.74944777,6.91705583,6.74944777,6.78812655
1527408000,6.78812655,6.78812655,6.63985788,6.78812655
1527494400,6.78812655,6.8332518,6.6720902,6.76878716
1527580800,6.76878716,6.82035887,6.65919727,6.7623407
1527667200,6.7623407,6.7623407,6.52382153,6.60762556
1527753600,6.60762556,6.76878716,6.4400175,6.48514275
1528012800,6.48514275,6.63985788,6.48514275,6.57539324
1528099200,6.57539324,6.58183971,6.44646396,6.52382153
1528185600,6.52382153,6.6011791,6.28530236,6.4400175
1528272000,6.4400175,6.74944777,6.4400175,6.58828617
1528358400,6.58828617,6.63985788,6.47224982,6.58183971
1528617600,6.58183971,6.69787606,6.530268,6.61407203
1528704000,6.61407203,6.89771644,6.61407203,6.74300131
1528790400,6.74300131,7.09111036,6.74300131,7.00085986
1528876800,7.00085986,7.43277295,7.00085986,7.27805782
1528963200,7.27805782,7.41343356,7.155575,7.3167366
1529395200,7.3167366,7.54236284,7.19425378,7.3876477
1529481600,7.3876477,7.3876477,6.93639523,7.0653245
1529568000,7.0653245,7.41343356,7.0653245,7.34252245
1529827200,7.34252245,7.41343356,7.16202146,7.36830831
1529913600,7.36830831,7.41343356,7.20070025,7.36830831
1530000000,7.36830831,7.73575676,7.32318306,7.63261333
1530086400,7.63261333,7.69063151,7.51013052,7.60038101
1530172800,7.60038101,7.83245372,7.41343356,7.68418505
1530518400,7.68418505,7.68418505,7.2264861,7.30384367
1530604800,7.30384367,7.41343356,7.10400329,7.28450428
1530691200,7.28450428,7.36830831,7.12978914,7.20714671
1530777600,7.20714671,7.27161135,7.10400329,7.155575
1531036800,7.155575,7.20070025,6.97507401,7.09111036
1531123200,7.09111036,7.70352444,6.90416291,7.42632649
1531209600,7.42632649,7.60682748,7.41343356,7.54236284
1531296000,7.54236284,7.60682748,7.4778982,7.60682748
1531382400,7.60682748,7.60682748,7.22003964,7.43277295
1531641600,7.43277295,7.43277295,7.18136086,7.2264861
1531728000,7.2264861,7.43277295,7.2264861,7.3876477
1531814400,7.3876477,7.3876477,7.09111036,7.11689622
1531900800,7.11689622,7.22003964,7.11044975,7.14912854
1531987200,7.14912854,7.14912854,6.96218108,6.96218108
1532246400,6.96218108,7.09111036,6.8332518,6.91705583
1532419200,6.91705583,7.155575,6.80101948,6.91060937
1532505600,6.91060937,6.94284169,6.61407203,6.87193059
1532592000,6.87193059,7.09111036,6.52382153,6.91060937
1532851200,6.91060937,7.2458255,6.91060937,7.12978914
1532937600,7.12978914,7.12978914,6.96218108,7.07177097
1533024000,7.07177097,7.41988002,7.07177097,7.27161135
1533110400,7.27161135,7.40698709,7.22003964,7.29095074
1533196800,7.29095074,7.29095074,7.16846793,7.25227196
1533456000,7.25227196,7.40698709,7.2458255,7.27161135
1533542400,7.27161135,7.27161135,7.02664572,7.09111036
1533628800,7.09111036,7.155575,7.05887804,7.09111036
1533715200,7.09111036,7.09111036,7.02019926,7.05887804
1533801600,7.05887804,7.0846639,6.82680534,6.9235023
1534060800,6.9235023,7.0846639,6.86548412,6.9944134
1534147200,6.9944134,7.09111036,6.70432252,6.82035887
1534233600,6.82035887,6.89771644,6.76878716,6.79457302
1534320000,6.79457302,7.00730633,6.71721545,6.91705583
1534406400,6.91705583,7.02664572,6.83969827,6.97507401
1534665600,6.97507401,7.09111036,6.96218108,7.03953865
1535270400,7.03953865,7.18780732,6.89771644,7.09111036
1535356800,7.09111036,7.09111036,6.96862755,7.09111036
1535443200,7.09111036,7.09111036,6.89771644,6.98796694
1535529600,6.98796694,7.02664572,6.96218108,6.98796694
1535616000,6.98796694,6.98796694,6.8332518,6.92994876
1535875200,6.92994876,7.03953865,6.92994876,6.97507401
1535961600,6.97507401,6.97507401,6.8332518,6.96218108
1536048000,6.96218108,6.96218108,6.89771644,6.94284169
1536134400,6.94284169,6.96218108,6.84614473,6.96218108
1536220800,6.96218108,6.96218108,6.83969827,6.96218108
1536480000,6.96218108,6.96218108,6.8332518,6.83969827
1536566400,6.83969827,6.83969827,6.44646396,6.63341142
1536825600,6.52382153,6.52382153,6.14992662,6.33687408
1537084800,6.33687408,6.33687408,5.89206806,5.97587274
1537171200,5.97587274,5.97587274,5.73735293,5.7953711
1537257600,5.7953711,5.93074685,5.51172669,5.72446
1537344000,5.72446,5.80181757,5.15717117,5.27320752
1537430400,5.27320752,5.78892464,5.15717117,5.47949437
1537689600,5.47949437,5.99521149,5.47949437,5.8856216
1537776000,5.8856216,5.89851453,5.75669232,5.85983574
1537862400,5.85983574,5.87917514,5.80181757,5.82760342
1537948800,5.82760342,6.06612259,5.77603171,5.99521149
1538035200,5.99521149,6.09835491,5.85983574,5.98231856
1538294400,5.98231856,6.18215894,5.81471114,6.07256905
1538380800,6.07256905,6.07256905,5.80181757,6.07256905
1538467200,6.07256905,6.07256905,5.68578122,5.7953711
1538553600,5.7953711,6.04033673,5.76958525,5.82115696
1538640000,5.82115696,5.82115696,5.47949437,5.71801354
1538985600,5.71801354,5.73735293,5.20229642,5.26031459
1539072000,5.26031459,5.47304791,4.77038333,5.15717117
1539158400,5.15717117,5.34411863,4.99600957,5.27965399
1539244800,5.27965399,5.67288829,4.89931261,5.38924387
1539504000,5.38924387,5.85338928,5.38924387,5.78892464
1539590400,5.78892464,5.93074685,5.54395901,5.84694282
1539676800,5.84694282,6.27240944,5.71156707,6.1176943
1539763200,6.1176943,6.59473264,6.1176943,6.47224982
1539849600,6.47224982,6.47224982,6.12414077,6.3691064
1540108800,6.3691064,6.44646396,6.22728419,6.43357104
1540195200,6.43357104,6.44646396,6.27240944,6.4400175
1540281600,6.4400175,6.4400175,6.15637309,6.26596297
1540368000,6.26596297,6.42067811,6.17571248,6.29819594
1540454400,6.29819594,6.31753468,6.11124784,6.22083773
1540713600,6.22083773,6.3691064,6.04033673,6.09835491
1540800000,6.09835491,6.31753468,6.09835491,6.24017712
1540886400,6.24017712,6.37555286,6.20149833,6.31753468
1540972800,6.31753468,6.42712457,6.22083773,6.38199932
1541059200,6.38199932,6.4400175,6.25307005,6.33687408
1541318400,6.33687408,6.42712457,6.09190845,6.2079448
1541404800,6.2079448,6.31753468,6.1176943,6.18860541
1541491200,6.18860541,6.38199932,6.18860541,6.26596297
1541577600,6.26596297,6.38199932,6.16281955,6.25951651
1541664000,6.25951651,6.25951651,6.18860541,6.22083773
1541923200,6.22083773,6.31108822,6.16281955,6.23373065
1542009600,6.23373065,6.23373065,6.1176943,6.18215894
1542096000,6.18215894,6.60762556,6.12414077,6.44646396
1542182400,6.44646396,6.68498313,6.40778518,6.55605385
1542268800,6.55605385,6.57539324,6.44646396,6.50448214
1542528000,6.50448214,6.96218108,6.44646396,6.75589423
1542614400,6.75589423,6.82035887,6.58828617,6.72366191
1542873600,6.65275081,7.09111036,6.58828617,6.82680534
1543132800,6.82680534,6.96218108,6.57539324,6.66564374
1543219200,6.66564374,6.89126998,6.57539324,6.73010838
1543305600,6.73010838,6.73655484,6.61407203,6.67853667
1543392000,6.67853667,6.67853667,6.43357104,6.530268
1543478400,6.530268,6.70432252,6.47869628,6.62051849
1543737600,6.62051849,6.69787606,6.44646396,6.50448214
1543824000,6.50448214,6.57539324,6.38199932,6.49803568
1543910400,6.49803568,6.49803568,6.18860541,6.29174883
1543996800,6.29174883,6.4400175,6.22083773,6.30464176
1544083200,6.30464176,6.5109286,6.19505187,6.38199932
1544342400,6.38199932,6.38199932,6.25307005,6.38199932
1544428800,6.38199932,6.38199932,6.25307005,6.2788559
1544515200,6.2788559,6.40778518,6.22083773,6.37555286
1544601600,6.37555286,6.74944777,6.31753468,6.51737507
1544688000,6.51737507,6.67853667,6.39489225,6.5109286
1544947200,6.5109286,6.5109286,6.2788559,6.38844579
1545033600,6.38844579,6.50448214,6.31753468,6.4400175
1545120000,6.4400175,6.63985788,6.34332054,6.51737507
